tip_incasare,volum_curse,incasari_totale_lei,medie_lei_per_cursa,venit_mediu_per_minut,venit_mediu_per_km,medie_km_cursa_platit,medie_km_preluare
1. Curse CASH (Casa de marcat),267,5723.5,21.4,1.4,3.6,5.6,1.2
2. Curse CARD (In-App / Business),564,13213.9,23.4,1.4,3.7,6.0,1.1
