zi_saptamana,numar_total_curse,medie_lei_per_minut,medie_lei_per_km,castiguri_totale_lei
Luni,279,1.5,3.8,6907
Marti,222,1.5,3.9,5886.4
Miercuri,298,1.4,4.0,7139.2
Joi,325,1.4,4.2,7294.4
Vineri,271,1.4,4.0,6899.8
Sambata,286,1.7,3.9,7600.5
Duminica,253,1.7,3.9,6665.2
