ora_zi,numar_curse_finalizate,viteza_medie_kmh
0,125,27.8
1,52,29.5
2,32,26.9
3,12,37.2
4,7,31.5
5,1,17.6
6,7,25.1
7,7,17.2
8,7,15.4
9,16,17.9
10,22,22.0
11,21,17.3
12,35,17.9
13,41,17.3
14,57,18.3
15,53,19.6
16,59,20.0
17,73,17.9
18,152,21.0
19,220,22.5
20,229,24.0
21,267,25.3
22,243,27.3
23,196,29.4
