tip_incasare,volum_curse,incasari_totale_lei,medie_lei_per_cursa,venit_mediu_per_minut,venit_mediu_per_km,medie_km_cursa_platit,medie_km_preluare
1. Curse CASH (Casa de marcat),477,11393,23.9,1.6,4.0,5.5,1.2
2. Curse CARD (In-App & Business),982,25910.9,26.4,1.6,4.1,6.0,1.1
