zi_saptamana,numar_curse_finalizate,viteza_medie_kmh
Luni,279,25.2
Marti,222,24.7
Miercuri,298,22.7
Joi,325,20.9
Vineri,271,22.7
Sambata,286,26.7
Duminica,253,27.4
