tip_cursa,volum_curse,venituri_totale_lei,venit_mediu_per_minut,venit_mediu_per_km,medie_km_preluare
1. Cursa Scurta (0 - 3 km),382,6496.2,1.9,5.8,1.1
2. Cursa Medie (3 - 8 km),1148,25298.1,1.4,3.6,1.1
3. Cursa Lunga (peste 8 km),404,16598.2,1.5,3.2,1.2
